year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2005.58250,29.99000,31.92000,,
2005.60940,22.03000,29.45000,,
2005.63680,,35.62000,,
2005.63740,28.44000,,,
2005.66320,12.30000,26.51000,,
2005.69070,,5.38000,,
2005.69160,0.21000,,,
2005.71310,,5.32000,,
2005.71900,-2.37000,,,
2005.74580,-17.70000,,,
2005.75050,,-20.19000,,
2005.76550,-21.23000,,,
2005.77220,,-20.71000,,
2005.79980,,-8.87000,,
2005.82670,,1.65000,,
2005.85320,,-1.13000,,
2005.88170,,-47.69000,,
2005.90770,,-11.77000,,
2005.93520,,48.87000,,
2005.96200,,-12.52000,,
2005.98940,,-33.37000,,
2006.01660,,5.90000,,
2006.04360,,-34.88000,,
2006.07100,,-39.27000,,
2006.09810,,-27.24000,,
2006.12520,,18.36000,,
2006.15250,,35.82000,,
2006.17960,,50.45000,,
2006.20680,,61.11000,,
2006.23370,,86.51000,,
2006.26110,,42.05000,,
2006.28770,,44.01000,,
2006.31540,,-15.51000,,
2006.34240,,-7.79000,,
2006.36950,,-10.30000,,
2006.39670,,-7.59000,,
2006.42390,,11.33000,,
2006.45130,,-9.69000,,
2006.47830,,15.34000,,
2006.50530,,56.62000,,
2006.53250,,18.42000,,
2006.55950,,-8.26000,,
2006.58680,,13.37000,,
2006.61400,,36.74000,,
2006.64090,,30.81000,,
2006.66750,,1.20000,,
2006.69610,,-8.83000,,
2006.72240,,19.57000,,
2006.74950,,41.30000,,
2006.77740,,-1.55000,,
2006.80340,,12.04000,,
2006.82410,,85.97000,,
2006.88860,,11.63000,,
2006.91270,,35.72000,,
2006.93920,,-27.29000,,
2006.96660,,-71.84000,,
2006.99400,,-73.60000,,
2007.02060,,-31.61000,,
2007.04850,,7.46000,,
2007.07520,,28.44000,,
2007.10260,,-2.83000,,
2007.12940,,56.78000,,
2007.15680,,30.66000,,
2007.18370,,25.66000,,
2007.21160,,-38.92000,,
2007.23810,,26.83000,,
2007.26500,,4.74000,,
2007.29230,,-34.30000,,
2007.31980,,-56.35000,,
2007.34680,,-25.04000,,
2007.37440,,-1.56000,,
2007.40170,,42.45000,,
2007.42830,,32.07000,,
2007.45550,,23.93000,,
2007.48250,,36.88000,,
2007.50960,,12.34000,,
2007.53630,,-4.89000,,
2007.56380,,4.86000,,
2007.59110,,18.81000,,
2007.61830,,2.64000,,
2007.64530,,-1.71000,,
2007.67300,,-26.74000,,
2007.69980,,-13.35000,,
2007.72690,,-21.23000,,
2007.75380,,27.80000,,
2007.78110,,26.12000,,
2007.80860,,-20.24000,,
2007.83550,,-45.72000,,
2007.86260,,-55.34000,,
2007.88930,,25.99000,,
2007.91710,,-45.39000,,
2007.94390,,-0.44000,,
2007.97080,,-1.97000,,
2007.99830,,-76.40000,,
2008.02520,,25.71000,,
2008.05240,,42.22000,,
2008.07960,,8.30000,,
2008.10750,,-12.73000,,
2008.13410,,-52.92000,,
2008.16140,,-53.21000,,
2008.18840,,-9.82000,,
2008.21550,,14.87000,,
2008.24260,,43.50000,,
2008.26990,,26.89000,,
2008.29700,,86.24000,,
2008.32440,,49.05000,,
2008.34420,,-10.98000,,
2008.37860,,-7.56000,,
2008.40560,,36.97000,,
2008.43250,,-2.15000,,
2008.45970,,-4.46000,,
2008.48770,,32.61000,,
2008.51380,,35.58000,,
2008.54130,,-0.44000,,
2008.54280,,,1.19000,
2008.56830,,-13.02000,,
2008.56840,,,-13.57000,
2008.59130,,-9.27000,,
2008.59690,,,-5.21000,
2008.62310,,,5.72000,
2008.64960,,,1.34000,
2008.64980,,-11.26000,,
2008.67740,,-12.54000,,
2008.67750,,,2.45000,
2008.70420,,27.65000,,
2008.70440,,,38.83000,
2008.73140,,23.32000,,
2008.73160,,,31.91000,
2008.75830,,-3.28000,,
2008.75850,,,10.54000,
2008.78570,,-48.70000,,
2008.78610,,,-33.22000,
2008.81280,,-12.67000,,
2008.81350,,,9.97000,
2008.83970,,31.24000,,
2008.84040,,,42.39000,
2008.86710,,41.28000,,
2008.86790,,,47.56000,
2008.89460,,-22.02000,,
2008.89480,,,-17.42000,
2008.92160,,49.01000,,
2008.92170,,,45.53000,
2008.94820,,34.24000,,
2008.94850,,,28.76000,
2008.97580,,11.98000,,
2008.97610,,,7.95000,
2009.00310,,,-50.35000,
2009.00320,,-52.95000,,
2009.02980,,-57.50000,,
2009.03090,,,-55.27000,
2009.05740,,-60.48000,,
2009.05760,,,-50.88000,
2009.08480,,,93.83000,
2009.11180,,,131.35000,
2009.12640,,76.04000,,
2009.13890,,,32.87000,
2009.15250,,-45.38000,,
2009.16600,,,-31.65000,
2009.17970,,-13.24000,,
2009.19320,,,36.82000,
2009.20640,,24.99000,,
2009.22060,,,-7.73000,
2009.23340,,-21.08000,,
2009.24730,,,5.83000,
2009.26110,,-0.95000,,
2009.27460,,,-13.00000,
2009.28790,,-11.42000,,
2009.30220,,,6.97000,
2009.31510,,2.65000,,
2009.32920,,,-6.50000,
2009.34200,,-10.70000,,
2009.35590,,,8.30000,
2009.36930,,15.85000,,
2009.38300,,,6.77000,
2009.39700,,17.73000,,
2009.40990,,,-4.89000,
2009.42400,,17.31000,,
2009.43740,,,49.50000,
2009.45090,,87.42000,,
2009.46480,,,72.80000,
2009.47810,,68.20000,,
2009.49190,,,63.45000,
2009.50580,,73.36000,,
2009.51950,,,54.36000,
2009.53230,,41.68000,,
2009.54610,,,4.92000,
2009.55940,,-3.33000,,
2009.57320,,,-4.14000,
2009.58650,,8.28000,,
2009.60040,,,10.29000,
2009.61410,,11.70000,,
2009.62790,,,7.92000,
2009.64120,,-6.90000,,
2009.65490,,,3.75000,
2009.66850,,17.13000,,
2009.68200,,,4.74000,
2009.69410,,-7.17000,,
2009.70930,,,1.40000,
2009.73600,,26.80000,,
2009.73620,,,21.71000,
2009.74950,,-6.00000,,
2009.76330,,,8.06000,
2009.77680,,23.80000,,
2009.79030,,,10.45000,
2009.80340,,10.74000,,
2009.81780,,,28.67000,
2009.83100,,33.26000,,
2009.84480,,,-0.01000,
2009.85770,,13.72000,,
2009.87170,,,39.27000,
2009.88540,,36.89000,,
2009.89950,,,-6.44000,
2009.91280,,-3.43000,,
2009.92600,,,12.35000,
2009.93940,,54.02000,,
2009.95390,,,39.24000,
2009.96690,,77.03000,,
2009.98040,,,127.52000,
2009.99430,,186.77000,,
2010.00780,,,173.78000,
2010.02120,,165.43000,,
2010.03470,,,132.54000,
2010.04810,,124.54000,,
2010.06210,,,71.30000,
2010.07530,,4.99000,,
2010.08920,,,-14.54000,
2010.10250,,25.63000,,
2010.11640,,,70.17000,
2010.12950,,119.91000,,
2010.14380,,,174.99000,
2010.15680,,196.36000,,
2010.17060,,,181.54000,
2010.18460,,135.36000,,
2010.19780,,,85.86000,
2010.21080,,30.56000,,
2010.22510,,,21.57000,
2010.23880,,-6.20000,,
2010.25210,,,-1.16000,
2010.26490,,-41.94000,,
2010.27950,,,-35.54000,
2010.29240,,0.48000,,
2010.30610,,,49.17000,
2010.31960,,41.49000,,
2010.33320,,,25.97000,
2010.34710,,17.29000,,
2010.36050,,,43.22000,
2010.37420,,66.89000,,
2010.38720,,,37.86000,
2010.40140,,14.73000,,
2010.41510,,,3.50000,
2010.42650,,25.85000,,
2010.44190,,,57.98000,
2010.45560,,81.10000,,
2010.46950,,,78.74000,
2010.48230,,60.64000,,
2010.49670,,,34.30000,
2010.50960,,19.04000,,
2010.52340,,,17.87000,
2010.53720,,14.69000,,
2010.55070,,,16.81000,
2010.56150,,27.50000,,
2010.57780,,,19.26000,
2010.59090,,20.99000,,
2010.60480,,,33.09000,
2010.61850,,37.26000,,
2010.63210,,,37.93000,
2010.64560,,27.68000,,
2010.65930,,,41.67000,
2010.67260,,38.71000,,
2010.68640,,,50.98000,
2010.69960,,49.32000,,
2010.71310,,,52.08000,
